State,StateID,County,index,intercept,SP,unemployment,mortgage_rates,ind_prod,inflation_expect
Texas,48,Wheeler,2735,-6.07E-17,-0.181082726,-1.275088543,-0.03325036,-1.323976692,0.100281915
Nebraska,31,Polk,2736,8.67E-18,-0.027066294,0.298636773,0.632750699,0.336236564,-0.042012994
North Dakota,38,McHenry,2737,-3.04E-17,0.238276264,0.172628743,0.345699654,-0.157706084,0.426352344
Arkansas,5,Calhoun,2738,1.46E-16,-0.198109047,0.389058752,0.007893989,0.479262144,0.438181675
Nevada,32,Lincoln,2739,4.34E-17,0.358270033,-0.400210045,0.435435863,-0.540817456,0.070635461
Montana,30,Toole,2740,9.71E-17,0.315249186,0.305901441,0.845483482,-0.18211308,-0.274527682
North Dakota,38,Dickey,2741,1.25E-16,-0.01017026,0.347797536,1.037701758,0.251846974,0.045021
Minnesota,27,Big Stone,2742,-8.41E-17,0.370824164,-0.035405107,-0.013875415,0.11354272,-0.367018582
Louisiana,22,Tensas,2743,4.06E-16,0.146113503,-0.91985753,-0.376599126,-0.82107549,-0.091726617
Texas,48,Delta,2744,-1.80E-16,0.115466208,-0.614310578,0.346789204,-0.390904606,-0.354071697
Nebraska,31,Johnson,2745,-2.19E-16,-0.154342456,-0.059512994,0.604820914,0.101556474,-0.086187533
Idaho,16,Lincoln,2746,1.23E-16,0.164900636,0.478064657,0.203274089,0.537284405,-0.306427335
Virginia,51,Craig,2747,8.15E-17,0.310879543,0.116400688,0.302948211,0.308152609,-0.233985578
Minnesota,27,Cook,2748,2.67E-16,0.230837312,-0.119132358,0.380596889,-0.041083713,-0.370300104
South Dakota,46,Kingsbury,2749,-7.20E-17,-0.213374756,-0.470933078,0.238020716,-0.30073477,-0.410882217
Iowa,19,Ringgold,2750,-6.94E-18,-0.073818001,-0.728094806,-0.18970379,-0.749917463,0.081536209
Kentucky,21,Carlisle,2751,2.78E-17,-0.281000164,-0.588150521,0.073901505,-0.50490679,-0.057721919
Illinois,17,Calhoun,2752,-1.18E-16,-0.113362667,-1.144170631,0.808003521,-1.612204797,0.040554967
Pennsylvania,42,Cameron,2753,2.08E-17,0.014230423,0.086448225,0.593085031,-0.134617304,-0.152183369
